Transaction_ID,User_ID,Crypto,Transaction_Type,Amount,Price_Per_Unit,Total_Value,Transaction_Fee,Platform,Status,Wallet_Type,Transaction_Date
434465,31394,Bitcoin,Withdraw,57.695145,45248.78,2610634.92,114990.7,KuCoin,Completed,Trezor,2024-04-10 09:51:58.222424
905397,39627,Solana,Stake,27.708982,48307.43,1338549.71,34560.11,Binance,Failed,Cold Wallet,2023-10-04 09:51:58.222424
451293,11506,Cardano,Buy,80.368977,44428.82,3570698.81,38312.76,OKX,Pending,Hot Wallet,2024-11-15 09:51:58.222424
841249,84005,XRP,Stake,83.900483,8755.31,734574.74,1396.89,FTX,Completed,Exchange Wallet,2024-02-11 09:51:58.222424
762686,66706,Dogecoin,Stake,52.528368,58667.26,3081695.42,19087.58,Kraken,Pending,Exchange Wallet,2023-09-15 09:51:58.222424
925389,33284,Cardano,Sell,96.423204,14327.75,1381527.56,40679.41,Kraken,Pending,Trezor,2023-10-28 09:51:58.222424
160227,66819,BNB,Transfer,36.251446,13832.81,501459.36,13192.99,Kraken,Failed,Cold Wallet,2024-11-29 09:51:58.222424
687076,83903,XRP,Transfer,31.38778,25214.7,791433.46,33678.05,FTX,Pending,Trezor,2024-08-01 09:51:58.222424
556052,76299,Polkadot,Withdraw,94.771521,50095.83,4747658.0,182900.88,Coinbase,Completed,Exchange Wallet,2024-04-09 09:51:58.222424
126989,54167,Dogecoin,Transfer,14.249741,1890.29,26936.14,718.12,Kraken,Pending,Cold Wallet,2024-02-16 09:51:58.222424
901412,37167,Litecoin,Stake,56.494905,23961.75,1353716.79,20347.23,FTX,Completed,Trezor,2023-12-03 09:51:58.222424
146060,65838,Avalanche,Withdraw,14.903784,17162.89,255792.01,4410.06,Huobi,Failed,Trezor,2023-08-20 09:51:58.222424
544966,33627,XRP,Transfer,11.500575,27267.69,313594.11,15614.43,Huobi,Failed,Trezor,2024-04-19 09:51:58.222424
725730,85233,Avalanche,Buy,36.934027,32070.62,1184497.14,40418.63,OKX,Pending,Trezor,2025-01-16 09:51:58.222424
556158,17761,Solana,Withdraw,3.164199,3751.52,11870.56,108.49,FTX,Failed,Ledger,2024-07-20 09:51:58.222424
